Pyridine,13,-6.21,-1.98,1.62,5.77,1.43,7.27,1.43,2.92,11.71,113,3.18,0.68,-0.22,-9.83,-26.82,0.97
3-Methylpyridine,14,-6.13,-1.94,1.74,6.4,1.43,8.53,1.41,3.56,11.76,137,3.6,1.17,-0.22,-9.72,-25.61,0.96
2-Methylpyridine,19,-6.12,-1.92,1.57,5.6,1.38,7.05,1.38,2.83,11.82,137,2.74,0.96,-0.21,-9.5,-25.18,0.96
3-Hydroxypyrydine,21,-5.98,-1.97,1.56,5.48,1.41,6.71,1.41,2.65,11.69,124,4.9,0.41,-0.4,-9.56,-24.26,0.96
4-Methylpyridine,24,-6.17,-1.84,1.55,5.6,1.33,7.21,1.32,2.94,11.79,137,3.95,1.17,-0.22,-9.52,-25.35,0.96
"2,6-Dimethylpyridine",26,-6.03,-1.85,1.53,5.45,1.35,6.85,1.35,2.75,11.86,161,2.23,1.25,-0.21,-9.36,-23.3,0.96
4-Methoxypyridine,28,-6.2,-1.62,1.39,5.15,1.13,6.92,1.11,2.9,11.85,148,4.65,0.66,-0.35,-9.52,-25.35,0.96
2-Chloropyridine,28,-6.62,-2.21,1.77,6.11,1.66,7.27,1.65,2.81,11.34,135,4.71,1.55,-0.3,-9.55,-24.12,0.98
2-Hydroxypiridine,29,-6.05,-1.94,1.55,5.47,1.39,6.76,1.39,2.68,11.42,124,1.86,0.95,-0.41,-8.88,-22.58,0.97
2-Bromopyridine,33,-6.52,-2.23,1.78,6.09,1.69,7.13,1.67,2.73,11.35,142,4.75,1.66,-0.32,-9.45,-23.75,0.97
"2,4,6-Trimethylpyridine",38,-6,-1.72,1.45,5.26,1.25,6.78,1.25,2.76,11.94,184,2.97,1.73,-0.22,-8.82,-22.12,0.95
4-Acetylpyridine,49,-6.18,-3.25,2.72,8.12,3.3,6.95,2.68,2.13,11.57,162,3.48,0.42,-0.47,-9.92,-24.55,0.96
4-Dimethylaminopyridine,61,-5.14,-1.32,1.12,4.19,0.88,5.75,0.86,2.45,12.12,176,7.05,0.84,-0.32,-8.41,-21.13,0.88
4-Benzylpyridine,72,-6.14,-2,1.69,5.75,1.64,6.6,1.62,2.49,11.81,237,3.72,2.41,-0.22,-13.17,-27.48,0.96
2-Methoxypyridine,73,-5.86,-1.84,1.47,5.22,1.3,6.53,1.3,2.61,11.67,148,1,1.2,-0.34,-9,-22.44,0.95
4-Aminopyridine,86,-5.6,-1.41,1.22,4.59,0.97,6.29,0.94,2.68,12.04,130,5.96,-0.07,-0.41,-8.17,-20.49,0.93
2-Benzilpyridine,88,-6.07,-1.99,1.68,5.71,1.62,6.57,1.6,2.48,11.75,236,2.64,2.66,-0.21,-9.54,-24.95,0.97
"3,5-Dibromopyridine",98,-6.48,-2.49,1.98,6.5,2.04,6.98,1.94,2.52,11.32,171,1.25,2.18,-0.35,-9.13,-20.84,0.98
Imidazole,18,-5.82,-0.62,1.27,4.8,1,6.65,0.96,2.85,11.81,93,5.08,-0.28,-0.27,-10.68,-31.73,0.89
5-Methylimidazole,20,-5.51,-0.54,1.23,4.6,0.98,6.29,0.95,2.67,11.88,117,5.53,-0.14,-0.28,-9.9,-28.27,0.88
4-Methyl-5-hydroxymethylimidazole,23,-5.58,-0.95,1.3,4.55,1.2,5.52,1.19,2.16,11.88,152,5.53,-0.31,-0.53,-9.92,-27.22,0.88
Benzimidazole,29,-5.84,-1.71,1.45,5.15,1.3,6.41,1.3,2.55,11.72,156,5.01,1.35,-0.27,-10.64,-28.06,0.79
2-Methylbenzimidazole,35,-5.71,-1.58,1.35,4.89,1.17,6.28,1.16,2.56,11.81,177,5.28,1.61,-0.27,-10.11,-24.36,0.78
5-Nitrobenzimidazole,43,-6.35,-3.64,3.05,8.82,3.89,6.92,2.94,1.99,11.28,183,11.03,-0.76,-0.46,-10.06,-25.79,0.78
5-Carboxybenzimidazole,66,-6.11,-2.45,2,6.45,2.12,6.67,1.98,2.34,11.58,189,8.05,0.95,-0.71,-10.48,-26.61,0.78
2-Aminobenzimidazole,89,-5.16,-1.29,1.24,4.46,1.07,5.71,1.07,2.32,11.51,171,6.18,1.14,-0.47,-8.31,-19.43,0.76
2-Pyridylbenzimidazole,93,-5.83,-2.81,2.46,7.33,2.98,6.29,2.43,1.93,11.59,246,5.45,2.12,-0.41,-9.54,-22.23,0.8
2-Benzil-benzimidazole,93,-5.75,-1.73,1.53,5.28,1.45,6.23,1.44,2.39,11.79,277,5.03,3.31,-0.27,-8.13,-24.33,0.78
2-(Ortho-aminophenyl)-benzimidazole,94,-5.27,-2.22,1.89,5.92,2.13,5.67,1.89,1.89,11.79,267,6.24,2.52,-0.41,-11.5,-24.16,0.79
2-Phenylbenzimidazole,95,-5.57,-2.4,2.06,6.37,2.35,5.99,2.06,1.97,11.72,252,4.84,3.27,-0.24,-9.29,-21.55,0.79
