,null,dipole,polar,homo,lumo,gap
0,0,2.24621105194,77.3638458252,-0.230021476746,0.0655184090137,0.288702845573
1,1,2.39884567261,81.2449951172,-0.250873714685,0.0539022535086,0.300976932049
2,2,0.656474709511,80.9242019653,-0.238270312548,0.0467588454485,0.28301101923
3,3,2.80997371674,72.2051467896,-0.250450283289,-0.0323429331183,0.226686105132
4,4,1.47114062309,74.7048339844,-0.238346606493,0.0674302056432,0.303033143282
5,5,6.15980529785,67.7000427246,-0.245603084564,0.0264840293676,0.253550589085
6,6,2.00589108467,73.1158752441,-0.235550820827,0.00915070995688,0.239740684628
7,7,2.1576230526,80.2039337158,-0.255154043436,0.0669356733561,0.299634039402
8,8,1.5371119976,82.9928283691,-0.228102460504,0.0678765326738,0.298240661621
9,9,4.39085149765,66.7255554199,-0.242390081286,-0.0164624750614,0.232678383589
10,10,2.80361652374,75.2648925781,-0.201870232821,0.0211914163083,0.219148382545
11,11,0.216806575656,83.6986160278,-0.232302770019,0.0553015470505,0.271952748299
12,12,0.184231132269,93.8197555542,-0.244259297848,0.0750276967883,0.312768816948
13,13,3.4600815773,73.5070800781,-0.249194413424,-0.0291476193815,0.217534735799
14,14,2.67956018448,86.1546096802,-0.23023031652,-0.0260594766587,0.180730655789
15,15,3.47293448448,68.1009140015,-0.201548621058,-0.0149326017126,0.221143126488
16,16,1.45515084267,85.5256347656,-0.249457091093,0.0360535532236,0.278921693563
17,17,2.44436812401,85.9722747803,-0.236841619015,-0.0242843180895,0.196197658777
18,18,1.83437991142,82.6655731201,-0.245429798961,0.0645199194551,0.325267851353
19,19,1.68175244331,80.9113769531,-0.208828255534,0.0106234401464,0.227822467685
20,20,0.983197391033,73.379486084,-0.228941828012,0.0644613951445,0.291249752045
21,21,5.05940914154,75.3267822266,-0.233424976468,-0.00617918092757,0.215067982674
22,22,2.94921660423,66.2245025635,-0.237899944186,0.00604322366416,0.227664813399
23,23,2.53963112831,71.8188858032,-0.245263233781,0.0254514869303,0.241708993912
24,24,2.6323363781,79.2295837402,-0.1957103163,0.0204608757049,0.206807434559
25,25,4.49121427536,78.4312133789,-0.246885463595,0.0109445434064,0.246958255768
26,26,0.362801998854,94.579750061,-0.244108840823,0.0598772019148,0.300977706909
27,27,2.56849551201,79.248008728,-0.263538211584,0.0136614013463,0.286728441715
28,28,2.2929854393,78.4179077148,-0.222855493426,0.0612005889416,0.280453085899
29,29,4.01457548141,76.4401397705,-0.260907709599,0.0486537888646,0.298813462257
30,30,2.49411797523,64.097076416,-0.239419057965,-0.0120962373912,0.211835443974
31,31,1.26571154594,78.1691436768,-0.241844952106,0.00512088090181,0.247909635305
32,32,1.23520553112,59.5484542847,-0.240979239345,-0.0385163873434,0.194256186485
33,33,1.50159668922,79.9652786255,-0.180624306202,0.022920479998,0.197713896632
34,34,3.84313392639,80.809928894,-0.22891356051,-0.0278663728386,0.191050678492
35,35,2.616335392,75.7312240601,-0.241165593266,0.0381468757987,0.251723468304
36,36,6.15618801117,73.8241271973,-0.235623523593,0.0398222655058,0.259941667318
37,37,3.48818969727,75.8235397339,-0.21594029665,-0.00204197503626,0.208275690675
38,38,1.90324926376,79.2725830078,-0.223870515823,0.07389626652,0.296646595001
39,39,4.72730112076,67.8111877441,-0.248064026237,0.0199538934976,0.251755833626
40,40,3.16276836395,68.9967803955,-0.261663287878,-0.027958964929,0.222806602716
41,41,2.27042579651,76.5557556152,-0.239145547152,-0.00388034805655,0.253279536963
42,42,3.21230649948,75.3112716675,-0.259184122086,-0.0422392338514,0.204724177718
43,43,1.9004509449,67.8045272827,-0.290826261044,-0.0427396520972,0.241792187095
