,null,dipole,polar,homo,lumo,gap
0,0,2.22165393829,77.9300765991,-0.237779214978,0.040849160403,0.26992353797
1,1,1.77785205841,82.0328063965,-0.245483234525,0.0782902464271,0.290624052286
2,2,1.36500012875,83.3210906982,-0.240052014589,0.05896095559,0.288495481014
3,3,2.44120788574,74.0257339478,-0.24826002121,-0.0205078795552,0.218661755323
4,4,1.53923940659,79.8396835327,-0.247195765376,0.0666610598564,0.302595108747
5,5,2.9989168644,70.7014160156,-0.251187950373,0.00713069550693,0.243676036596
6,6,2.52180528641,71.9790802002,-0.243167936802,-0.00897511094809,0.224690198898
7,7,1.97791850567,81.8083953857,-0.245783701539,0.0817615389824,0.300873041153
8,8,1.50590515137,83.2686233521,-0.237476915121,0.0493851006031,0.27637425065
9,9,3.24995136261,68.6025390625,-0.246696949005,-0.0237444005907,0.210619136691
10,10,3.1534781456,73.1735610962,-0.236186027527,0.00384611822665,0.230579212308
11,11,0.120765328407,87.8903579712,-0.228512808681,0.0286960452795,0.250193655491
12,12,0.144184887409,93.6022720337,-0.261422067881,0.0812361687422,0.324731469154
13,13,2.88496160507,72.0912246704,-0.244722336531,0.00989977270365,0.246974289417
14,14,1.44249594212,83.6328887939,-0.238097384572,0.0498803928494,0.279584467411
15,15,2.94255685806,69.8181762695,-0.242641746998,-0.00714307650924,0.212528705597
16,16,1.66150081158,81.9648971558,-0.24079695344,0.0133431917056,0.242686718702
17,17,1.4838064909,83.3507537842,-0.237639084458,0.0477887578309,0.2807931602
18,18,1.78826141357,82.3112716675,-0.2477401793,0.071132928133,0.288099318743
19,19,1.45404529572,80.674118042,-0.222716927528,0.026305982843,0.244617417455
20,20,2.69849395752,75.0197143555,-0.242921426892,0.0112130865455,0.249400272965
21,21,2.90164208412,71.3066635132,-0.243767887354,0.0143096260726,0.253030061722
22,22,2.902302742,70.9167556763,-0.248471707106,0.010570762679,0.242174312472
23,23,2.76761555672,69.42918396,-0.241383105516,0.0210615061224,0.258781343699
24,24,3.36721587181,76.5825042725,-0.22406578064,-0.0060696490109,0.222443774343
25,25,3.47237157822,78.2841949463,-0.247047379613,0.00724809058011,0.236068069935
26,26,0.16126178205,93.4243392944,-0.261259377003,0.0774773955345,0.323525220156
27,27,2.59570384026,76.1175537109,-0.244534045458,0.0264212824404,0.26072537899
28,28,2.267608881,78.3108291626,-0.239558145404,0.0353880003095,0.269814938307
29,29,2.68212175369,75.9982833862,-0.244909316301,0.0106295235455,0.257542908192
30,30,3.1121764183,68.8788528442,-0.243434384465,-0.00266091898084,0.231200218201
31,31,2.71550416946,74.7701416016,-0.24497269094,0.0264212824404,0.265418887138
32,32,2.87183046341,51.6193695068,-0.266149520874,-0.0527059175074,0.198643326759
33,33,2.54778337479,74.3947143555,-0.244751751423,-0.0162732750177,0.223717957735
34,34,3.04792451859,75.8555831909,-0.238110050559,-0.0106037594378,0.219099402428
35,35,2.86462163925,75.0011520386,-0.247672438622,0.0264212824404,0.265819132328
36,36,3.60081124306,76.5152740479,-0.231365218759,0.0264212824404,0.2545170784
37,37,2.88257932663,71.7215576172,-0.243828266859,0.0108627127483,0.249114006758
38,38,2.16788268089,79.5488586426,-0.234905719757,0.0328223668039,0.267207294703
39,39,3.0293443203,70.9878158569,-0.251699745655,0.0015986636281,0.233842790127
40,40,3.24258112907,70.9140548706,-0.243870988488,-0.00896712392569,0.221084937453
41,41,2.12025523186,74.9204711914,-0.241607815027,0.0209892019629,0.258335709572
42,42,3.13645482063,74.1134719849,-0.233231604099,0.00562210008502,0.23396101594
43,43,3.49859523773,69.6659698486,-0.245613917708,-0.0288246162236,0.205250993371
44,44,1.69942498207,80.8901596069,-0.236874610186,0.0155807929114,0.240988880396
45,45,2.22561597824,78.0905227661,-0.237411990762,0.0406757593155,0.269515842199
46,46,3.23123431206,66.3285446167,-0.256179571152,-0.0506336055696,0.195968285203
47,47,3.01882052422,69.314239502,-0.252636224031,-0.0186955407262,0.223767206073
48,48,3.08013224602,73.9050140381,-0.232755988836,0.00564674846828,0.234763771296
49,49,3.24047803879,65.4117279053,-0.25778067112,-0.0506295077503,0.197924420238
50,50,2.92819261551,68.8597106934,-0.250593185425,-0.0118202529848,0.22631148994
51,51,3.26860308647,72.7584381104,-0.23045642674,-0.0092035420239,0.214038133621
52,52,2.90240073204,67.6380615234,-0.25084027648,-0.0142215639353,0.226462483406
53,53,2.54799699783,71.8865737915,-0.241733729839,-0.00847267732024,0.226122319698
54,54,2.75457644463,83.0867919922,-0.242233619094,0.0336099490523,0.265340864658
55,55,3.27448153496,71.1636428833,-0.24498604238,-0.0121399834752,0.219130650163
56,56,1.44278490543,88.9323959351,-0.257552534342,0.0818083882332,0.314345657825
57,57,3.12231230736,79.4103088379,-0.240750283003,0.0264212824404,0.259219825268
58,58,2.08970546722,73.3709716797,-0.252374231815,0.0237055271864,0.279414355755
59,59,2.89193582535,71.0025405884,-0.244224831462,0.0138097722083,0.255202561617
60,60,2.14995121956,80.9471817017,-0.235136732459,0.0274765957147,0.264606177807
61,61,3.43968105316,72.3797531128,-0.245713606477,0.00594717264175,0.242284715176
62,62,3.48410534859,65.0510406494,-0.244358152151,-0.0416132248938,0.193580970168
63,63,2.15575861931,79.4595108032,-0.233284205198,0.0377872660756,0.266286373138
64,64,2.80331659317,72.13697052,-0.247552335262,0.00935832224786,0.243459045887
65,65,2.19473552704,83.2836303711,-0.236653745174,0.0442374050617,0.274283587933
66,66,3.04592370987,71.1769561768,-0.242275297642,0.00300807505846,0.229011252522
67,67,2.45671033859,81.3577651978,-0.232474565506,0.0596947930753,0.283576875925
68,68,2.93920397758,75.0840988159,-0.221064373851,0.00600250437856,0.223951324821
69,69,2.8739335537,71.4980316162,-0.244344800711,0.0111248362809,0.249405950308
70,70,3.24531364441,64.3481521606,-0.268036544323,-0.0756992399693,0.193580970168
71,71,0.171713024378,89.2160491943,-0.233106613159,0.022944483906,0.249935716391
72,72,3.14496088028,67.3313293457,-0.245580613613,-0.0244122184813,0.20744125545
73,73,2.7987511158,83.6740341187,-0.224889099598,0.0428399294615,0.256607174873
74,74,0.119683340192,94.0397567749,-0.259874969721,0.079980224371,0.323009848595
75,75,1.93106532097,81.5994110107,-0.248914718628,0.079024091363,0.307632148266
76,76,3.4549498558,66.7979660034,-0.242852583528,-0.0327014066279,0.200637847185
77,77,1.45053362846,89.0522613525,-0.256488859653,0.0812973678112,0.312277406454
78,78,2.57469439507,74.608833313,-0.244257315993,-0.0130423568189,0.22534134984
79,79,1.56378817558,81.4502716064,-0.242492288351,0.0587792508304,0.290381848812
80,80,3.45459938049,73.1025772095,-0.245728209615,0.00661566480994,0.245452255011
81,81,1.37363433838,85.7495040894,-0.243217676878,0.0786883831024,0.300865292549
82,82,2.98556470871,70.322052002,-0.243191629648,0.00259653292596,0.226641342044
83,83,3.16976952553,67.3047943115,-0.254852682352,-0.0227586738765,0.215757995844
84,84,3.36787891388,72.9394836426,-0.219691768289,-0.0191331505775,0.208338186145
85,85,2.16545200348,74.561630249,-0.241335168481,0.0177896451205,0.254751712084
86,86,3.43835759163,66.3249969482,-0.245253503323,-0.0365624092519,0.199667900801
87,87,1.22749984264,86.1803588867,-0.250435620546,0.0804286301136,0.3185364604
88,88,1.96961188316,77.9741592407,-0.245075270534,0.0730145722628,0.294420987368
89,89,3.30734729767,79.788230896,-0.233472824097,0.0264212824404,0.26103836298
90,90,1.06581819057,85.2590408325,-0.24354635179,0.0143091967329,0.234280258417
91,91,1.99843072891,80.486114502,-0.250878661871,0.0583768598735,0.286313831806
92,92,3.28735351562,67.9910202026,-0.241772219539,-0.0198417976499,0.211709290743
93,93,2.88459706306,71.3645172119,-0.243465736508,0.0126800304279,0.252454161644
94,94,1.68918573856,80.3957443237,-0.233362987638,0.0172557402402,0.240117460489
95,95,2.97465586662,72.2712097168,-0.271189332008,0.0177781507373,0.284420311451
96,96,2.08511161804,78.678565979,-0.243257910013,0.0154450051486,0.24122390151
