,null,A,B,C,dipole,polar,homo,lumo,gap,spatialSize
0,0,2.47940659523,1.49491381645,1.27417802811,2.77912330627,77.1417922974,-0.231815591455,0.0190387237817,0.270290702581,1172.39477539
1,1,3.60539507866,0.857611596584,0.761600673199,2.19205760956,81.9509353638,-0.245886027813,0.058781504631,0.316680282354,1445.68127441
2,2,4.00424289703,1.2323833704,1.26853823662,0.803512573242,81.5013122559,-0.248273640871,0.0442348048091,0.288931190968,1033.2824707
3,3,3.53366446495,1.06624054909,0.924158096313,2.73190879822,73.580329895,-0.243621364236,-0.031213670969,0.211721554399,1096.30761719
4,4,3.43775773048,1.60444951057,1.38036572933,1.58306741714,74.9271316528,-0.242305666208,0.0510891191661,0.319559395313,1141.12011719
5,5,2.2568552494,1.43702793121,1.12742960453,4.02038526535,67.9275741577,-0.245584204793,-0.00391511246562,0.262197613716,1170.60668945
6,6,2.77493429184,1.60496544838,1.25858044624,2.09937691689,72.2902603149,-0.23436512053,0.0171791668981,0.239606767893,1023.67181396
7,7,2.60813975334,1.02093780041,0.886906147003,2.27786636353,81.8184280396,-0.243584632874,0.0669233947992,0.315536499023,1540.97045898
8,8,2.87692713737,1.1623865366,0.962696433067,1.53778588772,84.6687850952,-0.231592178345,0.0298842899501,0.277052342892,1179.44946289
9,9,2.93907237053,1.33316922188,1.02337944508,3.5986263752,69.4934539795,-0.233101055026,-0.0140333371237,0.208574652672,1111.36962891
10,10,3.21626520157,1.33992648125,1.02934169769,3.32577967644,75.0019378662,-0.234049528837,0.00828076899052,0.236623987556,1167.51586914
11,11,2.69499707222,2.00830674171,1.64042973518,-0.331941395998,85.8957138062,-0.249304056168,0.0185015965253,0.261277526617,1116.55834961
12,12,3.02234578133,1.28226947784,1.06859242916,-0.104867488146,92.6878509521,-0.252231866121,0.0525940582156,0.322799324989,1201.83374023
13,13,3.04650783539,1.44899439812,1.01288974285,3.3779168129,72.3809280396,-0.238594204187,-0.00449930224568,0.231940567493,1143.63598633
