,null,zpe,U0,U,H,G,Cv
0,0,0.172409698367,-399.103759766,-398.827270508,-400.559936523,-400.121520996,33.5339279175
1,1,0.197326466441,-420.617797852,-420.116546631,-424.668151855,-424.388336182,37.4738845825
2,2,0.182913064957,-362.839111328,-362.284332275,-365.026916504,-364.521331787,31.5382709503
3,3,0.128839462996,-422.560974121,-422.185302734,-423.281097412,-423.246307373,30.9665184021
4,4,0.181665241718,-381.998352051,-381.643371582,-384.046783447,-383.521392822,32.5096206665
5,5,0.150425165892,-439.936859131,-439.821105957,-441.014709473,-440.809417725,32.4223823547
6,6,0.13703866303,-435.9559021,-435.628845215,-436.424133301,-436.33013916,29.9790058136
7,7,0.201297968626,-423.103149414,-422.957580566,-426.918914795,-426.578826904,38.9397354126
8,8,0.17968288064,-382.116973877,-381.907836914,-383.433044434,-382.989593506,35.6158981323
9,9,0.118260443211,-462.245666504,-462.076477051,-463.268432617,-463.306182861,30.1386184692
10,10,0.139590010047,-419.294250488,-418.962402344,-420.704101562,-420.478515625,30.5104694366
11,11,0.186828359962,-354.984313965,-354.643585205,-356.643188477,-355.996673584,28.5312385559
12,12,0.219029188156,-347.745300293,-347.358581543,-352.478912354,-351.925262451,38.2164268494
13,13,0.14758965373,-424.242889404,-423.965393066,-425.453491211,-425.324981689,31.0604457855
14,14,0.182408541441,-383.438354492,-383.297424316,-384.88470459,-384.350738525,34.6966018677
15,15,0.127898231149,-445.20904541,-444.932098389,-446.081695557,-446.009552002,30.0429363251
16,16,0.156597703695,-380.955108643,-381.035339355,-382.937255859,-382.645446777,32.913318634
17,17,0.184862062335,-390.827453613,-390.72354126,-392.264831543,-391.833862305,35.3984107971
18,18,0.197645068169,-421.34161377,-420.859863281,-425.246551514,-424.988525391,37.4332275391
19,19,0.149566486478,-392.023742676,-391.546875,-393.529632568,-393.09866333,27.9969367981
20,20,0.151522368193,-389.834594727,-389.09588623,-392.202819824,-391.82119751,30.931596756
21,21,0.14905525744,-419.863830566,-419.437225342,-420.734985352,-420.43927002,30.0092449188
22,22,0.139697402716,-428.827636719,-428.766174316,-429.176483154,-429.029052734,30.1981296539
23,23,0.145666271448,-402.401916504,-402.263122559,-403.390625,-403.054779053,30.2669677734
24,24,0.126832604408,-394.488433838,-394.002197266,-395.925811768,-395.782684326,28.9035491943
25,25,0.135202586651,-378.995605469,-378.133483887,-381.070678711,-380.753509521,28.3957271576
26,26,0.224119007587,-350.282348633,-348.429290771,-354.213012695,-353.630950928,36.9226303101
27,27,0.163040578365,-438.605102539,-438.304992676,-439.790924072,-439.45022583,34.9339485168
28,28,0.173501506448,-393.778259277,-393.257476807,-395.086791992,-394.751617432,33.647190094
29,29,0.150663897395,-387.72869873,-387.434570312,-389.875671387,-389.566436768,31.193529129
30,30,0.121764175594,-398.303833008,-397.754699707,-400.137817383,-400.04473877,27.9873638153
31,31,0.172538504004,-437.606109619,-437.327941895,-438.147827148,-437.801483154,35.6163253784
32,32,0.0763750001788,-406.685577393,-406.891204834,-405.790344238,-406.04574585,26.3168048859
33,33,0.126084670424,-394.14453125,-393.496704102,-395.018859863,-394.801483154,29.1760387421
34,34,0.113291680813,-390.517303467,-390.276763916,-390.662719727,-390.551727295,28.4433517456
35,35,0.172909259796,-435.12588501,-434.619995117,-436.414825439,-436.066040039,34.9898605347
36,36,0.179644674063,-440.519500732,-439.689880371,-442.898590088,-442.446563721,36.1116523743
37,37,0.145700931549,-408.311584473,-407.978271484,-409.542114258,-409.396942139,31.8716068268
38,38,0.169201374054,-405.861480713,-405.591491699,-406.698730469,-406.281585693,33.621307373
39,39,0.148552179337,-432.530029297,-432.269714355,-433.611755371,-433.333068848,31.075843811
40,40,0.11988298595,-410.844085693,-410.429412842,-412.364685059,-412.379730225,28.6779994965
41,41,0.155144363642,-431.051330566,-431.141662598,-432.523620605,-432.261383057,32.1250457764
42,42,0.136715933681,-414.229431152,-413.726257324,-416.508728027,-416.276947021,30.6694278717
43,43,0.105789981782,-432.352111816,-432.242553711,-432.734741211,-432.815216064,27.8640708923
44,44,0.161085277796,-382.796905518,-382.864074707,-384.624572754,-384.334869385,32.5264968872
45,45,0.175797343254,-401.574157715,-401.146270752,-403.310302734,-402.758483887,33.2718162537
46,46,0.0943175852299,-414.803833008,-414.596313477,-415.811950684,-415.985748291,26.3329257965
47,47,0.126405715942,-443.740386963,-443.484802246,-444.493652344,-444.562530518,30.0297222137
48,48,0.138646543026,-424.106109619,-423.569244385,-425.603088379,-425.269866943,30.061964035
49,49,0.0908600613475,-420.736022949,-420.628265381,-421.022521973,-421.142059326,26.447927475
50,50,0.127300217748,-435.153991699,-434.67300415,-436.840362549,-436.663604736,29.936624527
51,51,0.128857553005,-434.753295898,-434.663635254,-435.922973633,-435.747131348,30.3530921936
52,52,0.127761885524,-433.863189697,-433.462463379,-436.13772583,-436.075714111,28.6838035583
53,53,0.139531522989,-433.102142334,-432.595489502,-433.825134277,-433.65927124,28.0586490631
54,54,0.177468687296,-371.366546631,-370.725982666,-374.486328125,-373.892578125,31.9723587036
55,55,0.118630498648,-416.352539062,-416.196990967,-417.555419922,-417.525054932,28.2873058319
56,56,0.219087913632,-391.936004639,-391.929443359,-394.567779541,-394.236663818,40.0406265259
57,57,0.15842667222,-372.88394165,-372.216552734,-375.776733398,-375.262634277,31.2123031616
58,58,0.158987000585,-387.272338867,-387.134002686,-389.570556641,-389.081359863,31.7198410034
59,59,0.149451762438,-429.623962402,-429.350341797,-430.582092285,-430.419403076,31.6357975006
60,60,0.166924729943,-399.569366455,-399.225891113,-401.094177246,-400.591522217,33.9821395874
61,61,0.158882290125,-437.507873535,-437.469116211,-437.826782227,-437.483673096,33.9432487488
62,62,0.100558847189,-424.013427734,-424.137420654,-424.060577393,-424.252929688,26.4948539734
